# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4b/: 13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34
# plane	POL=2		POL=2		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5	
1	1.120e+04	1.058e+02	7.416e+03	8.612e+01	4.300e+01	6.557e+00	1.611e+04	1.269e+02	9.691e+03	9.844e+01	1.357e+04	1.165e+02	1.354e+04	1.164e+02	1.280e+04	1.131e+02	9.369e+03	9.679e+01	1.287e+04	1.135e+02	1.532e+04	1.238e+02	1.368e+04	1.169e+02	1.002e+04	1.001e+02	1.133e+04	1.064e+02	8.803e+03	9.382e+01	1.458e+04	1.208e+02	1.349e+04	1.161e+02	8.651e+03	9.301e+01	1.394e+04	1.181e+02	8.500e+01	9.220e+00	1.682e+04	1.297e+02	1.387e+04	1.178e+02	1.349e+04	1.162e+02	7.316e+03	8.553e+01	1.078e+04	1.039e+02	8.530e+03	9.236e+01	1.149e+04	1.072e+02	8.633e+03	9.291e+01	5.700e+01	7.550e+00	6.702e+03	8.187e+01	1.323e+04	1.150e+02	3.500e+01	5.916e+00	6.079e+03	7.797e+01	9.009e+03	9.492e+01
2	1.548e+04	1.244e+02	1.054e+04	1.027e+02	7.100e+01	8.426e+00	2.226e+04	1.492e+02	1.454e+04	1.206e+02	2.033e+04	1.426e+02	1.886e+04	1.373e+02	1.889e+04	1.374e+02	1.292e+04	1.137e+02	1.863e+04	1.365e+02	2.028e+04	1.424e+02	1.828e+04	1.352e+02	1.479e+04	1.216e+02	1.631e+04	1.277e+02	1.154e+04	1.074e+02	2.019e+04	1.421e+02	1.709e+04	1.307e+02	1.119e+04	1.058e+02	1.969e+04	1.403e+02	9.900e+01	9.950e+00	2.546e+04	1.596e+02	1.847e+04	1.359e+02	1.600e+04	1.265e+02	9.156e+03	9.569e+01	1.393e+04	1.180e+02	1.028e+04	1.014e+02	1.503e+04	1.226e+02	9.186e+03	9.584e+01	5.900e+01	7.681e+00	7.264e+03	8.523e+01	2.029e+04	1.424e+02	3.300e+01	5.745e+00	9.045e+03	9.511e+01	1.283e+04	1.133e+02
