# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4b/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34
# plane	POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=5		POL=5		POL=2		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5	
1	7.036e+05	8.388e+02	5.205e+05	7.214e+02	3.554e+03	5.962e+01	1.192e+06	1.092e+03	6.006e+05	7.750e+02	1.007e+06	1.003e+03	8.199e+05	9.055e+02	8.774e+05	9.367e+02	5.895e+05	7.678e+02	7.958e+05	8.920e+02	9.397e+05	9.694e+02	9.905e+05	9.952e+02	6.070e+05	7.791e+02	6.953e+05	8.338e+02	5.680e+05	7.536e+02	8.856e+05	9.410e+02	8.328e+05	9.126e+02	5.232e+05	7.234e+02	8.525e+05	9.233e+02	6.246e+03	7.903e+01	1.019e+06	1.009e+03	8.448e+05	9.191e+02	8.206e+05	9.059e+02	4.589e+05	6.774e+02	6.507e+05	8.067e+02	5.271e+05	7.260e+02	7.212e+05	8.492e+02	5.225e+05	7.229e+02	4.301e+03	6.558e+01	4.220e+05	6.496e+02	8.190e+05	9.050e+02	2.528e+03	5.028e+01	3.827e+05	6.187e+02	5.558e+05	7.455e+02
2	9.521e+05	9.757e+02	7.248e+05	8.513e+02	4.382e+03	6.620e+01	1.497e+06	1.223e+03	8.959e+05	9.465e+02	1.397e+06	1.182e+03	1.144e+06	1.070e+03	1.214e+06	1.102e+03	7.992e+05	8.940e+02	1.144e+06	1.070e+03	1.235e+06	1.111e+03	1.233e+06	1.111e+03	8.965e+05	9.469e+02	9.936e+05	9.968e+02	7.333e+05	8.563e+02	1.226e+06	1.107e+03	1.043e+06	1.021e+03	6.847e+05	8.275e+02	1.188e+06	1.090e+03	6.516e+03	8.072e+01	1.530e+06	1.237e+03	1.123e+06	1.060e+03	9.736e+05	9.867e+02	5.695e+05	7.546e+02	8.390e+05	9.160e+02	6.309e+05	7.943e+02	9.356e+05	9.673e+02	5.741e+05	7.577e+02	3.882e+03	6.231e+01	4.591e+05	6.775e+02	1.254e+06	1.120e+03	2.279e+03	4.774e+01	5.573e+05	7.465e+02	7.694e+05	8.772e+02
