# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4b/: 15N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34
# plane	POL=2		POL=5		POL=5		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5	
1	1.333e+05	3.651e+02	9.436e+04	3.072e+02	8.830e+02	2.972e+01	1.792e+05	4.234e+02	1.191e+05	3.450e+02	1.564e+05	3.955e+02	1.479e+05	3.845e+02	1.486e+05	3.855e+02	1.023e+05	3.198e+02	1.528e+05	3.908e+02	1.717e+05	4.143e+02	1.527e+05	3.908e+02	1.160e+05	3.405e+02	1.246e+05	3.531e+02	1.144e+05	3.383e+02	1.522e+05	3.901e+02	1.639e+05	4.049e+02	9.606e+04	3.099e+02	1.490e+05	3.860e+02	1.996e+03	4.468e+01	1.763e+05	4.199e+02	1.396e+05	3.736e+02	1.304e+05	3.611e+02	1.015e+05	3.186e+02	1.160e+05	3.406e+02	1.011e+05	3.180e+02	1.318e+05	3.630e+02	9.396e+04	3.065e+02	1.008e+03	3.175e+01	9.776e+04	3.127e+02	1.448e+05	3.805e+02	6.850e+02	2.617e+01	7.456e+04	2.730e+02	1.063e+05	3.261e+02
2	1.684e+05	4.103e+02	1.356e+05	3.682e+02	1.412e+03	3.758e+01	2.562e+05	5.062e+02	1.640e+05	4.049e+02	2.254e+05	4.747e+02	1.910e+05	4.371e+02	2.118e+05	4.602e+02	1.302e+05	3.608e+02	1.894e+05	4.351e+02	2.055e+05	4.534e+02	2.000e+05	4.472e+02	1.470e+05	3.834e+02	1.538e+05	3.922e+02	1.267e+05	3.559e+02	1.929e+05	4.392e+02	1.918e+05	4.379e+02	1.098e+05	3.314e+02	2.025e+05	4.500e+02	2.051e+03	4.529e+01	2.393e+05	4.891e+02	1.695e+05	4.117e+02	1.539e+05	3.923e+02	1.096e+05	3.311e+02	1.358e+05	3.686e+02	1.221e+05	3.494e+02	1.457e+05	3.817e+02	1.024e+05	3.199e+02	8.930e+02	2.988e+01	9.829e+04	3.135e+02	1.752e+05	4.186e+02	5.030e+02	2.243e+01	9.901e+04	3.147e+02	1.171e+05	3.422e+02
