# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4b/: 14N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34
# plane	POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=2		POL=2		POL=5		POL=2		POL=5		POL=5		POL=2		POL=5	
1	3.479e+06	1.865e+03	2.468e+06	1.571e+03	2.762e+04	1.662e+02	4.679e+06	2.163e+03	3.022e+06	1.738e+03	4.091e+06	2.023e+03	3.783e+06	1.945e+03	3.850e+06	1.962e+03	2.598e+06	1.612e+03	3.886e+06	1.971e+03	4.462e+06	2.112e+03	3.958e+06	1.989e+03	2.990e+06	1.729e+03	3.171e+06	1.781e+03	3.013e+06	1.736e+03	3.867e+06	1.966e+03	4.184e+06	2.046e+03	2.431e+06	1.559e+03	3.804e+06	1.950e+03	5.970e+04	2.443e+02	4.536e+06	2.130e+03	3.580e+06	1.892e+03	3.377e+06	1.838e+03	2.605e+06	1.614e+03	2.976e+06	1.725e+03	2.702e+06	1.644e+03	3.424e+06	1.850e+03	2.451e+06	1.565e+03	3.667e+04	1.915e+02	2.492e+06	1.579e+03	3.765e+06	1.940e+03	2.649e+04	1.628e+02	1.947e+06	1.395e+03	2.777e+06	1.666e+03
2	4.215e+06	2.053e+03	3.567e+06	1.889e+03	4.110e+04	2.027e+02	6.479e+06	2.545e+03	3.983e+06	1.996e+03	5.917e+06	2.432e+03	4.676e+06	2.162e+03	5.340e+06	2.311e+03	3.207e+06	1.791e+03	4.691e+06	2.166e+03	5.086e+06	2.255e+03	5.238e+06	2.289e+03	3.643e+06	1.909e+03	3.779e+06	1.944e+03	3.397e+06	1.843e+03	4.748e+06	2.179e+03	4.722e+06	2.173e+03	2.694e+06	1.641e+03	5.049e+06	2.247e+03	6.548e+04	2.559e+02	5.881e+06	2.425e+03	4.204e+06	2.050e+03	3.909e+06	1.977e+03	2.939e+06	1.714e+03	3.545e+06	1.883e+03	3.125e+06	1.768e+03	4.102e+06	2.025e+03	2.731e+06	1.653e+03	3.132e+04	1.770e+02	2.813e+06	1.677e+03	4.730e+06	2.175e+03	2.032e+04	1.425e+02	2.590e+06	1.609e+03	3.155e+06	1.776e+03
