# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_3a/: 14N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=5		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=5		POL=2		POL=5		POL=5		POL=2		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5	
1	3.922e+06	1.981e+03	3.093e+06	1.759e+03	2.807e+06	1.675e+03	3.027e+06	1.740e+03	3.710e+06	1.926e+03	2.217e+06	1.489e+03	2.429e+04	1.558e+02	2.287e+06	1.512e+03	2.340e+06	1.530e+03	2.438e+06	1.561e+03	2.790e+06	1.670e+03	2.309e+06	1.519e+03	3.633e+06	1.906e+03	1.199e+06	1.095e+03	2.772e+06	1.665e+03	2.296e+06	1.515e+03	2.930e+06	1.712e+03	2.785e+06	1.669e+03	4.850e+06	2.202e+03	3.136e+06	1.771e+03	3.782e+04	1.945e+02	3.969e+06	1.992e+03	3.792e+06	1.947e+03	2.739e+06	1.655e+03	1.772e+06	1.331e+03	3.261e+06	1.806e+03	3.998e+06	1.999e+03	2.945e+04	1.716e+02	1.937e+06	1.392e+03	2.767e+06	1.663e+03	3.925e+06	1.981e+03	1.931e+06	1.389e+03	4.455e+06	2.111e+03	2.576e+06	1.605e+03	5.020e+04	2.240e+02	4.616e+04	2.148e+02	1.754e+06	1.324e+03
2	3.917e+06	1.979e+03	2.533e+06	1.592e+03	2.996e+06	1.731e+03	2.746e+06	1.657e+03	3.509e+06	1.873e+03	2.218e+06	1.489e+03	2.673e+04	1.635e+02	2.572e+06	1.604e+03	2.478e+06	1.574e+03	2.047e+06	1.431e+03	3.057e+06	1.748e+03	2.424e+06	1.557e+03	3.985e+06	1.996e+03	1.232e+06	1.110e+03	2.582e+06	1.607e+03	2.353e+06	1.534e+03	2.724e+06	1.651e+03	2.934e+06	1.713e+03	5.458e+06	2.336e+03	2.951e+06	1.718e+03	2.418e+04	1.555e+02	4.147e+06	2.036e+03	3.127e+06	1.768e+03	3.297e+06	1.816e+03	2.272e+06	1.507e+03	3.393e+06	1.842e+03	4.554e+06	2.134e+03	2.109e+04	1.452e+02	2.647e+06	1.627e+03	3.246e+06	1.802e+03	4.116e+06	2.029e+03	1.692e+06	1.301e+03	4.529e+06	2.128e+03	2.683e+06	1.638e+03	3.547e+04	1.883e+02	4.310e+04	2.076e+02	2.307e+06	1.519e+03
