# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_3a/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5	
1	8.954e+05	9.463e+02	6.889e+05	8.300e+02	6.055e+05	7.781e+02	6.843e+05	8.272e+02	8.770e+05	9.365e+02	4.990e+05	7.064e+02	2.224e+03	4.716e+01	5.082e+05	7.129e+02	5.371e+05	7.329e+02	5.666e+05	7.527e+02	6.550e+05	8.093e+02	5.768e+05	7.595e+02	8.754e+05	9.357e+02	3.008e+05	5.484e+02	6.769e+05	8.227e+02	4.751e+05	6.893e+02	7.045e+05	8.394e+02	6.848e+05	8.275e+02	9.921e+05	9.961e+02	7.032e+05	8.386e+02	4.853e+03	6.966e+01	8.854e+05	9.409e+02	9.173e+05	9.578e+02	6.700e+05	8.185e+02	3.737e+05	6.113e+02	7.933e+05	8.907e+02	9.509e+05	9.752e+02	3.063e+03	5.534e+01	4.164e+05	6.453e+02	5.265e+05	7.256e+02	8.773e+05	9.366e+02	4.156e+05	6.447e+02	8.830e+05	9.397e+02	5.537e+05	7.441e+02	5.793e+03	7.611e+01	4.221e+03	6.497e+01	3.714e+05	6.095e+02
2	1.000e+06	1.000e+03	5.850e+05	7.648e+02	7.100e+05	8.426e+02	6.056e+05	7.782e+02	8.792e+05	9.376e+02	5.249e+05	7.245e+02	3.285e+03	5.731e+01	6.096e+05	7.808e+02	5.857e+05	7.653e+02	4.801e+05	6.929e+02	8.197e+05	9.054e+02	6.714e+05	8.194e+02	9.247e+05	9.616e+02	2.678e+05	5.175e+02	6.394e+05	7.997e+02	4.635e+05	6.808e+02	6.581e+05	8.112e+02	7.157e+05	8.460e+02	1.370e+06	1.170e+03	6.657e+05	8.159e+02	3.201e+03	5.658e+01	9.425e+05	9.708e+02	7.621e+05	8.730e+02	8.464e+05	9.200e+02	5.181e+05	7.198e+02	8.447e+05	9.191e+02	1.162e+06	1.078e+03	2.678e+03	5.175e+01	6.043e+05	7.774e+02	8.079e+05	8.989e+02	9.093e+05	9.536e+02	3.761e+05	6.133e+02	9.793e+05	9.896e+02	7.059e+05	8.402e+02	4.027e+03	6.346e+01	5.058e+03	7.112e+01	5.283e+05	7.268e+02
