# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_3a/: 13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=2		POL=2		POL=2		POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5	
1	1.156e+04	1.075e+02	8.753e+03	9.356e+01	7.858e+03	8.865e+01	8.628e+03	9.289e+01	1.109e+04	1.053e+02	6.421e+03	8.013e+01	2.600e+01	5.099e+00	6.385e+03	7.991e+01	6.894e+03	8.303e+01	7.314e+03	8.552e+01	8.450e+03	9.192e+01	7.397e+03	8.601e+01	1.119e+04	1.058e+02	3.796e+03	6.161e+01	8.733e+03	9.345e+01	5.980e+03	7.733e+01	9.020e+03	9.497e+01	8.812e+03	9.387e+01	1.245e+04	1.116e+02	8.843e+03	9.404e+01	5.000e+01	7.071e+00	1.135e+04	1.065e+02	1.174e+04	1.083e+02	8.618e+03	9.283e+01	4.732e+03	6.879e+01	1.009e+04	1.004e+02	1.206e+04	1.098e+02	3.500e+01	5.916e+00	5.276e+03	7.264e+01	6.579e+03	8.111e+01	1.092e+04	1.045e+02	5.100e+03	7.141e+01	1.137e+04	1.066e+02	6.991e+03	8.361e+01	6.700e+01	8.185e+00	4.000e+01	6.325e+00	4.586e+03	6.772e+01
2	1.275e+04	1.129e+02	7.334e+03	8.564e+01	9.226e+03	9.605e+01	7.593e+03	8.714e+01	1.118e+04	1.057e+02	6.745e+03	8.213e+01	4.900e+01	7.000e+00	7.586e+03	8.710e+01	7.307e+03	8.548e+01	6.094e+03	7.806e+01	1.064e+04	1.032e+02	8.490e+03	9.214e+01	1.166e+04	1.080e+02	3.424e+03	5.851e+01	7.986e+03	8.936e+01	5.943e+03	7.709e+01	8.306e+03	9.114e+01	8.789e+03	9.375e+01	1.725e+04	1.314e+02	8.369e+03	9.148e+01	3.700e+01	6.083e+00	1.197e+04	1.094e+02	9.501e+03	9.747e+01	1.085e+04	1.042e+02	6.718e+03	8.196e+01	1.066e+04	1.032e+02	1.465e+04	1.210e+02	2.500e+01	5.000e+00	7.697e+03	8.773e+01	1.029e+04	1.014e+02	1.147e+04	1.071e+02	4.650e+03	6.819e+01	1.232e+04	1.110e+02	8.953e+03	9.462e+01	5.800e+01	7.616e+00	4.900e+01	7.000e+00	6.651e+03	8.155e+01
