# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_3a/: 15N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5	
1	5.668e+04	2.381e+02	4.571e+04	2.138e+02	4.156e+04	2.039e+02	4.418e+04	2.102e+02	5.457e+04	2.336e+02	3.309e+04	1.819e+02	3.380e+02	1.838e+01	3.393e+04	1.842e+02	3.357e+04	1.832e+02	3.639e+04	1.908e+02	4.058e+04	2.015e+02	3.413e+04	1.848e+02	5.365e+04	2.316e+02	1.750e+04	1.323e+02	4.035e+04	2.009e+02	3.433e+04	1.853e+02	4.333e+04	2.082e+02	4.091e+04	2.023e+02	7.111e+04	2.667e+02	4.606e+04	2.146e+02	5.100e+02	2.258e+01	5.841e+04	2.417e+02	5.553e+04	2.356e+02	4.032e+04	2.008e+02	2.623e+04	1.620e+02	4.762e+04	2.182e+02	5.856e+04	2.420e+02	3.580e+02	1.892e+01	2.874e+04	1.695e+02	4.162e+04	2.040e+02	5.856e+04	2.420e+02	2.828e+04	1.682e+02	6.442e+04	2.538e+02	3.672e+04	1.916e+02	6.230e+02	2.496e+01	6.030e+02	2.456e+01	2.518e+04	1.587e+02
2	5.889e+04	2.427e+02	3.828e+04	1.957e+02	4.582e+04	2.141e+02	4.151e+04	2.037e+02	5.317e+04	2.306e+02	3.410e+04	1.847e+02	3.680e+02	1.918e+01	3.982e+04	1.996e+02	3.698e+04	1.923e+02	3.082e+04	1.756e+02	4.663e+04	2.159e+02	3.643e+04	1.909e+02	6.081e+04	2.466e+02	1.875e+04	1.369e+02	3.904e+04	1.976e+02	3.593e+04	1.895e+02	4.134e+04	2.033e+02	4.407e+04	2.099e+02	8.211e+04	2.865e+02	4.442e+04	2.108e+02	2.860e+02	1.691e+01	6.245e+04	2.499e+02	4.682e+04	2.164e+02	5.019e+04	2.240e+02	3.404e+04	1.845e+02	4.972e+04	2.230e+02	6.958e+04	2.638e+02	2.600e+02	1.612e+01	3.979e+04	1.995e+02	4.946e+04	2.224e+02	6.221e+04	2.494e+02	2.468e+04	1.571e+02	6.507e+04	2.551e+02	3.955e+04	1.989e+02	4.640e+02	2.154e+01	5.130e+02	2.265e+01	3.493e+04	1.869e+02
