# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4a/: 15N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33
# plane	POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=5		POL=2		POL=2		POL=5		POL=5		POL=5		POL=2	
1	1.127e+03	3.357e+01	8.917e+04	2.986e+02	9.018e+04	3.003e+02	1.631e+05	4.039e+02	1.632e+05	4.040e+02	7.834e+04	2.799e+02	9.232e+04	3.038e+02	1.232e+05	3.510e+02	8.550e+04	2.924e+02	1.440e+05	3.794e+02	8.127e+04	2.851e+02	1.085e+05	3.294e+02	1.061e+05	3.258e+02	1.193e+05	3.454e+02	9.650e+04	3.106e+02	1.790e+05	4.231e+02	8.641e+04	2.939e+02	8.728e+04	2.954e+02	1.647e+05	4.058e+02	1.733e+03	4.163e+01	9.108e+04	3.018e+02	1.520e+03	3.899e+01	1.148e+05	3.388e+02	9.155e+04	3.026e+02	8.806e+04	2.967e+02	5.764e+04	2.401e+02	1.280e+05	3.578e+02	1.317e+05	3.629e+02	1.775e+05	4.213e+02	1.348e+05	3.672e+02	2.153e+03	4.640e+01	1.324e+05	3.638e+02	7.610e+02	2.759e+01
2	9.720e+02	3.118e+01	1.079e+05	3.285e+02	9.623e+04	3.102e+02	1.732e+05	4.162e+02	1.801e+05	4.243e+02	9.082e+04	3.014e+02	8.806e+04	2.967e+02	1.214e+05	3.485e+02	1.003e+05	3.167e+02	1.238e+05	3.519e+02	8.158e+04	2.856e+02	1.151e+05	3.392e+02	1.171e+05	3.422e+02	1.223e+05	3.497e+02	1.045e+05	3.232e+02	1.690e+05	4.111e+02	1.002e+05	3.165e+02	1.040e+05	3.225e+02	1.857e+05	4.309e+02	1.266e+03	3.558e+01	9.969e+04	3.157e+02	1.773e+03	4.211e+01	1.258e+05	3.547e+02	1.027e+05	3.205e+02	9.032e+04	3.005e+02	6.501e+04	2.550e+02	1.526e+05	3.907e+02	1.502e+05	3.875e+02	2.016e+05	4.490e+02	1.415e+05	3.762e+02	2.077e+03	4.557e+01	1.351e+05	3.676e+02	6.160e+02	2.482e+01
