# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4a/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33
# plane	POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=2		POL=2		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5	
1	3.387e+03	5.820e+01	5.389e+05	7.341e+02	5.015e+05	7.081e+02	1.076e+06	1.037e+03	1.126e+06	1.061e+03	4.614e+05	6.793e+02	5.918e+05	7.693e+02	8.707e+05	9.331e+02	6.554e+05	8.095e+02	9.891e+05	9.946e+02	4.888e+05	6.992e+02	6.693e+05	8.181e+02	6.916e+05	8.317e+02	7.462e+05	8.638e+02	5.624e+05	7.500e+02	1.305e+06	1.142e+03	6.401e+05	8.001e+02	6.982e+05	8.356e+02	1.213e+06	1.101e+03	5.317e+03	7.292e+01	6.673e+05	8.169e+02	6.376e+03	7.985e+01	9.922e+05	9.961e+02	6.522e+05	8.076e+02	4.493e+05	6.703e+02	4.537e+05	6.736e+02	1.079e+06	1.039e+03	1.010e+06	1.005e+03	1.364e+06	1.168e+03	7.131e+05	8.445e+02	6.221e+03	7.887e+01	9.401e+05	9.696e+02	3.677e+03	6.064e+01
2	2.420e+03	4.919e+01	5.839e+05	7.641e+02	6.049e+05	7.777e+02	1.095e+06	1.046e+03	1.132e+06	1.064e+03	5.658e+05	7.522e+02	5.584e+05	7.473e+02	7.735e+05	8.795e+02	6.374e+05	7.984e+02	8.277e+05	9.098e+02	4.166e+05	6.454e+02	5.656e+05	7.521e+02	6.675e+05	8.170e+02	7.010e+05	8.373e+02	5.555e+05	7.453e+02	1.190e+06	1.091e+03	7.019e+05	8.378e+02	7.025e+05	8.382e+02	1.266e+06	1.125e+03	3.780e+03	6.148e+01	7.144e+05	8.452e+02	7.495e+03	8.657e+01	1.005e+06	1.002e+03	6.313e+05	7.946e+02	4.240e+05	6.512e+02	3.975e+05	6.305e+02	1.123e+06	1.060e+03	1.040e+06	1.020e+03	1.347e+06	1.161e+03	8.253e+05	9.085e+02	5.371e+03	7.329e+01	8.520e+05	9.231e+02	2.967e+03	5.447e+01
