# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4a/: 13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33
# plane	POL=5		POL=2		POL=5		POL=2		POL=2		POL=5		POL=2		POL=2		POL=2		POL=2		POL=5		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5	
1	4.600e+01	6.782e+00	8.829e+03	9.396e+01	7.850e+03	8.860e+01	1.764e+04	1.328e+02	1.820e+04	1.349e+02	7.352e+03	8.574e+01	9.371e+03	9.680e+01	1.404e+04	1.185e+02	1.060e+04	1.029e+02	1.584e+04	1.259e+02	7.565e+03	8.698e+01	1.063e+04	1.031e+02	1.099e+04	1.048e+02	1.204e+04	1.097e+02	9.152e+03	9.567e+01	2.124e+04	1.457e+02	1.060e+04	1.029e+02	1.125e+04	1.061e+02	2.009e+04	1.417e+02	7.800e+01	8.832e+00	1.092e+04	1.045e+02	8.600e+01	9.274e+00	1.630e+04	1.277e+02	9.319e+03	9.653e+01	7.339e+03	8.567e+01	7.424e+03	8.616e+01	1.821e+04	1.349e+02	1.641e+04	1.281e+02	2.239e+04	1.496e+02	1.122e+04	1.059e+02	9.600e+01	9.798e+00	1.536e+04	1.239e+02	6.600e+01	8.124e+00
2	4.100e+01	6.403e+00	9.416e+03	9.704e+01	9.691e+03	9.844e+01	1.789e+04	1.338e+02	1.865e+04	1.366e+02	9.084e+03	9.531e+01	9.012e+03	9.493e+01	1.242e+04	1.114e+02	1.032e+04	1.016e+02	1.355e+04	1.164e+02	6.655e+03	8.158e+01	9.170e+03	9.576e+01	1.085e+04	1.042e+02	1.155e+04	1.075e+02	9.166e+03	9.574e+01	1.919e+04	1.385e+02	1.152e+04	1.073e+02	1.146e+04	1.071e+02	2.090e+04	1.446e+02	6.300e+01	7.937e+00	1.172e+04	1.082e+02	8.500e+01	9.220e+00	1.643e+04	1.282e+02	9.537e+03	9.766e+01	6.817e+03	8.257e+01	6.522e+03	8.076e+01	1.899e+04	1.378e+02	1.678e+04	1.295e+02	2.206e+04	1.485e+02	1.333e+04	1.155e+02	7.900e+01	8.888e+00	1.381e+04	1.175e+02	5.100e+01	7.141e+00
