# /Users/sk/Dropbox/Science/Projects/PhD/manuscripts/ms_D_nanosims_labeling/data/nanosims_data/2014_April/PA_4a/: 14N12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33
# plane	POL=5		POL=2		POL=2		POL=2		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=5		POL=5		POL=5		POL=5		POL=5		POL=2		POL=5		POL=2		POL=5		POL=2		POL=5		POL=5		POL=5		POL=2		POL=2		POL=5		POL=2		POL=5		POL=5		POL=2	
1	3.644e+04	1.909e+02	2.354e+06	1.534e+03	2.329e+06	1.526e+03	4.092e+06	2.023e+03	4.314e+06	2.077e+03	1.963e+06	1.401e+03	2.407e+06	1.552e+03	3.167e+06	1.780e+03	2.259e+06	1.503e+03	3.622e+06	1.903e+03	2.088e+06	1.445e+03	2.864e+06	1.692e+03	2.646e+06	1.627e+03	3.117e+06	1.765e+03	2.391e+06	1.546e+03	4.513e+06	2.124e+03	2.194e+06	1.481e+03	2.231e+06	1.494e+03	4.193e+06	2.048e+03	5.132e+04	2.265e+02	2.314e+06	1.521e+03	5.103e+04	2.259e+02	2.941e+06	1.715e+03	2.476e+06	1.574e+03	2.234e+06	1.495e+03	1.480e+06	1.217e+03	3.390e+06	1.841e+03	3.367e+06	1.835e+03	4.737e+06	2.177e+03	3.436e+06	1.854e+03	6.356e+04	2.521e+02	3.474e+06	1.864e+03	2.498e+04	1.580e+02
2	2.920e+04	1.709e+02	2.936e+06	1.713e+03	2.560e+06	1.600e+03	4.331e+06	2.081e+03	4.752e+06	2.180e+03	2.292e+06	1.514e+03	2.416e+06	1.554e+03	3.137e+06	1.771e+03	2.642e+06	1.625e+03	3.170e+06	1.780e+03	2.100e+06	1.449e+03	2.960e+06	1.721e+03	2.930e+06	1.712e+03	3.252e+06	1.803e+03	2.565e+06	1.601e+03	4.399e+06	2.097e+03	2.574e+06	1.604e+03	2.616e+06	1.617e+03	4.793e+06	2.189e+03	3.804e+04	1.950e+02	2.528e+06	1.590e+03	5.668e+04	2.381e+02	3.299e+06	1.816e+03	2.674e+06	1.635e+03	2.245e+06	1.498e+03	1.681e+06	1.297e+03	3.926e+06	1.981e+03	3.840e+06	1.960e+03	5.279e+06	2.298e+03	3.636e+06	1.907e+03	5.990e+04	2.447e+02	3.486e+06	1.867e+03	1.869e+04	1.367e+02
